HMMProfile	protein_id	evalue	Coverage	ProfileLength	ProfileStart	GeneLength	ProfileEnd	GeneStart	GeneEnd	Strain
AA3.hmm	WP_126160831.1	4.40E-52	0.52	618	80	570	403	3	567	Arenibacter aquaticus GUO
GH109.hmm	WP_126160862.1	5.20E-16	0.93	126	2	488	119	47	157	Arenibacter aquaticus GUO
GH16_3.hmm	WP_126160864.1	5.00E-40	1	230	1	261	230	43	255	Arenibacter aquaticus GUO
GH29.hmm	WP_126160877.1	4.80E-101	0.89	346	38	412	346	10	327	Arenibacter aquaticus GUO
GH95.hmm	WP_126160878.1	1.70E-285	0.99	722	5	758	719	16	740	Arenibacter aquaticus GUO
GH33.hmm	WP_126160889.1	1.20E-40	0.9	342	16	373	325	53	356	Arenibacter aquaticus GUO
GH29.hmm	WP_126160892.1	7.20E-63	0.86	346	36	477	335	39	372	Arenibacter aquaticus GUO
CBM51.hmm	WP_126160894.1	2.90E-17	0.65	134	3	921	90	15	102	Arenibacter aquaticus GUO
GH29.hmm	WP_126160897.1	1.10E-83	0.88	346	40	569	345	18	331	Arenibacter aquaticus GUO
GH29.hmm	WP_126160899.1	6.00E-96	0.95	346	16	524	346	15	404	Arenibacter aquaticus GUO
GH2.hmm	WP_126160925.1	2.90E-79	0.72	752	23	943	568	19	737	Arenibacter aquaticus GUO
GH2.hmm	WP_126160927.1	6.00E-59	0.7	752	25	918	555	23	712	Arenibacter aquaticus GUO
GH73.hmm	WP_126160937.1	1.90E-32	0.98	128	3	282	128	81	209	Arenibacter aquaticus GUO
CE15.hmm	WP_126160942.1	2.30E-93	0.99	269	1	421	268	34	421	Arenibacter aquaticus GUO
GH95.hmm	WP_126161027.1	5.50E-158	0.5	722	349	444	713	1	381	Arenibacter aquaticus GUO
GH95.hmm	WP_126161028.1	3.50E-74	0.41	722	5	376	300	22	370	Arenibacter aquaticus GUO
GH139.hmm	WP_126161029.1	2.30E-271	0.99	777	1	806	774	1	804	Arenibacter aquaticus GUO
GH29.hmm	WP_126161045.1	1.30E-65	0.86	346	38	784	335	359	674	Arenibacter aquaticus GUO
GH109.hmm	WP_126161053.1	1.40E-17	0.93	126	3	445	120	39	152	Arenibacter aquaticus GUO
GT19.hmm	WP_126161122.1	3.00E-124	0.99	354	2	374	352	4	353	Arenibacter aquaticus GUO
GH33.hmm	WP_126161135.1	4.40E-103	0.95	342	9	393	335	48	379	Arenibacter aquaticus GUO
GH32.hmm	WP_126161136.1	4.30E-100	0.98	293	1	519	288	47	353	Arenibacter aquaticus GUO
GH65.hmm	WP_126161154.1	3.40E-146	0.99	372	1	771	370	324	702	Arenibacter aquaticus GUO
GH13_38.hmm	WP_126161155.1	1.60E-175	0.99	375	1	596	374	36	431	Arenibacter aquaticus GUO
GT2_Glyco_tranf_2_3.hmm	WP_126161180.1	6.40E-28	0.98	230	1	494	227	56	283	Arenibacter aquaticus GUO
GT2_Glycos_transf_2.hmm	WP_126161181.1	1.10E-21	0.76	170	2	229	132	6	131	Arenibacter aquaticus GUO
GT2_Glycos_transf_2.hmm	WP_126161195.1	2.20E-27	0.98	170	2	242	168	6	171	Arenibacter aquaticus GUO
GT2_Glycos_transf_2.hmm	WP_126161218.1	1.70E-20	0.84	170	1	238	144	10	142	Arenibacter aquaticus GUO
GH113.hmm	WP_126161219.1	2.70E-119	0.99	306	2	333	306	24	327	Arenibacter aquaticus GUO
GH109.hmm	WP_126161250.1	4.10E-17	0.94	126	1	458	120	40	158	Arenibacter aquaticus GUO
GT51.hmm	WP_126161320.1	1.70E-47	0.89	177	18	792	176	76	234	Arenibacter aquaticus GUO
GT5.hmm	WP_126161394.1	1.20E-43	0.45	472	1	269	212	5	226	Arenibacter aquaticus GUO
GH2.hmm	WP_126161472.1	3.20E-81	0.75	752	27	857	590	4	775	Arenibacter aquaticus GUO
GH97.hmm	WP_126161508.1	3.00E-155	0.99	631	3	661	630	15	658	Arenibacter aquaticus GUO
PL40.hmm	WP_126161510.1	1.00E-244	0.98	873	7	933	866	9	926	Arenibacter aquaticus GUO
GH88.hmm	WP_126161515.1	3.20E-124	0.98	329	5	417	329	76	399	Arenibacter aquaticus GUO
GH29.hmm	WP_126161517.1	4.10E-117	0.92	346	28	453	346	24	368	Arenibacter aquaticus GUO
GH168.hmm	WP_126161519.1	1.20E-82	0.99	277	2	407	277	113	391	Arenibacter aquaticus GUO
GH92.hmm	WP_126161532.1	2.20E-179	1	491	2	775	491	245	752	Arenibacter aquaticus GUO
GT26.hmm	WP_126161593.1	8.60E-64	0.99	171	2	246	171	56	226	Arenibacter aquaticus GUO
GT4.hmm	WP_126161596.1	7.80E-19	0.88	160	9	348	149	180	315	Arenibacter aquaticus GUO
GH23.hmm	WP_126161617.1	9.60E-27	0.88	135	2	543	121	178	313	Arenibacter aquaticus GUO
GT51.hmm	WP_126161650.1	5.00E-57	0.99	177	1	780	176	69	246	Arenibacter aquaticus GUO
GH109.hmm	WP_126161665.1	6.70E-17	0.93	126	3	484	120	49	159	Arenibacter aquaticus GUO
PL40.hmm	WP_126161711.1	6.10E-252	0.94	873	22	902	842	21	889	Arenibacter aquaticus GUO
GT9.hmm	WP_126161714.1	4.30E-35	0.96	225	2	332	217	59	307	Arenibacter aquaticus GUO
CE7.hmm	WP_126161736.1	1.40E-84	0.96	313	10	428	312	128	422	Arenibacter aquaticus GUO
GH109.hmm	WP_126161737.1	1.00E-22	0.96	126	1	429	122	38	156	Arenibacter aquaticus GUO
PL1_2.hmm	WP_126161781.1	7.20E-34	0.99	183	1	581	183	198	392	Arenibacter aquaticus GUO
PL1_2.hmm	WP_126161782.1	2.20E-34	0.99	183	1	694	183	312	506	Arenibacter aquaticus GUO
GT2_Glycos_transf_2.hmm	WP_126161787.1	1.10E-28	0.71	170	1	297	121	3	123	Arenibacter aquaticus GUO
GT4.hmm	WP_126161789.1	5.00E-39	0.95	160	5	359	157	173	327	Arenibacter aquaticus GUO
GT4.hmm	WP_126161791.1	3.70E-27	0.84	160	12	369	146	195	323	Arenibacter aquaticus GUO
GT4.hmm	WP_126161792.1	9.90E-29	0.97	160	3	363	158	185	333	Arenibacter aquaticus GUO
GT4.hmm	WP_126161793.1	4.60E-33	0.93	160	4	383	153	200	349	Arenibacter aquaticus GUO
GT4.hmm	WP_126161809.1	1.70E-35	0.94	160	6	382	157	195	343	Arenibacter aquaticus GUO
GH3.hmm	WP_126161810.1	6.30E-56	0.97	216	7	970	216	102	326	Arenibacter aquaticus GUO
GH109.hmm	WP_126161823.1	5.80E-18	0.95	126	2	384	122	8	127	Arenibacter aquaticus GUO
GH78.hmm	WP_126161880.1	6.20E-103	0.99	504	3	1173	503	600	1134	Arenibacter aquaticus GUO
CBM3.hmm	WP_126161894.1	7.30E-18	0.98	88	2	1679	88	1435	1513	Arenibacter aquaticus GUO
CBM32.hmm	WP_126161895.1	9.00E-16	0.87	124	13	853	121	733	842	Arenibacter aquaticus GUO
GH95.hmm	WP_126161896.1	9.90E-270	0.98	722	8	820	716	42	785	Arenibacter aquaticus GUO
GH95.hmm	WP_126161900.1	3.40E-274	0.98	722	6	820	716	40	785	Arenibacter aquaticus GUO
GH95.hmm	WP_126161906.1	1.60E-243	0.99	722	4	806	718	30	792	Arenibacter aquaticus GUO
GH95.hmm	WP_126161907.1	4.70E-289	0.99	722	4	812	717	53	795	Arenibacter aquaticus GUO
GH2.hmm	WP_126161908.1	2.00E-128	0.61	752	24	830	485	31	634	Arenibacter aquaticus GUO
CE17.hmm	WP_126161915.1	7.40E-17	0.98	165	1	855	163	509	675	Arenibacter aquaticus GUO
GH27.hmm	WP_126161916.1	3.30E-30	0.59	375	123	873	343	442	637	Arenibacter aquaticus GUO
CBM51.hmm	WP_126161916.1	1.00E-20	0.87	134	17	873	133	756	869	Arenibacter aquaticus GUO
CE6.hmm	WP_126161925.1	2.60E-16	0.98	99	1	277	98	88	188	Arenibacter aquaticus GUO
CE1.hmm	WP_126161948.1	3.80E-27	0.9	227	5	276	210	45	251	Arenibacter aquaticus GUO
CBM38.hmm	WP_126161956.1	2.80E-33	0.97	129	3	480	128	183	307	Arenibacter aquaticus GUO
GH20.hmm	WP_126161963.1	2.20E-72	0.96	337	14	769	336	161	491	Arenibacter aquaticus GUO
GH89.hmm	WP_126161964.1	1.40E-240	0.99	663	2	759	661	77	750	Arenibacter aquaticus GUO
GH92.hmm	WP_126161967.1	7.30E-153	0.99	491	3	992	491	246	747	Arenibacter aquaticus GUO
CBM32.hmm	WP_126161967.1	3.00E-19	0.92	124	9	992	123	870	990	Arenibacter aquaticus GUO
GH13_18.hmm	WP_126161979.1	2.30E-58	0.66	343	117	589	343	251	476	Arenibacter aquaticus GUO
CE1.hmm	WP_126161991.1	7.90E-36	0.96	227	4	266	221	29	259	Arenibacter aquaticus GUO
GH29.hmm	WP_126161998.1	5.60E-108	0.94	346	22	520	346	28	408	Arenibacter aquaticus GUO
GH28.hmm	WP_126161999.1	1.60E-67	0.94	325	5	464	310	44	377	Arenibacter aquaticus GUO
GH29.hmm	WP_126162001.1	1.70E-119	0.96	346	15	515	346	26	403	Arenibacter aquaticus GUO
GH29.hmm	WP_126162006.1	3.90E-109	0.93	346	23	498	346	22	382	Arenibacter aquaticus GUO
GH110.hmm	WP_126162012.1	1.10E-111	0.67	548	181	638	548	251	616	Arenibacter aquaticus GUO
GH110.hmm	WP_126162013.1	2.90E-164	0.97	548	15	605	548	35	574	Arenibacter aquaticus GUO
AA3.hmm	WP_126162020.1	5.00E-53	0.52	618	80	570	403	3	567	Arenibacter aquaticus GUO
GH29.hmm	WP_126162021.1	7.60E-115	0.97	346	11	500	346	14	386	Arenibacter aquaticus GUO
GH127.hmm	WP_126162031.1	1.10E-194	1	524	2	700	524	67	604	Arenibacter aquaticus GUO
GH129.hmm	WP_126162033.1	7.80E-214	0.99	618	5	695	615	36	692	Arenibacter aquaticus GUO
GH2.hmm	WP_126162055.1	3.90E-54	0.59	752	25	1084	465	25	616	Arenibacter aquaticus GUO
GH95.hmm	WP_126162057.1	1.90E-286	0.99	722	3	796	716	31	775	Arenibacter aquaticus GUO
GH95.hmm	WP_126162058.1	2.20E-112	0.98	722	7	765	712	35	730	Arenibacter aquaticus GUO
GH89.hmm	WP_126162061.1	2.20E-193	1	663	2	843	662	65	718	Arenibacter aquaticus GUO
CE1.hmm	WP_126162070.1	1.30E-37	0.96	227	2	286	220	26	256	Arenibacter aquaticus GUO
GH33.hmm	WP_126162078.1	4.30E-101	0.94	342	8	524	330	175	512	Arenibacter aquaticus GUO
GH33.hmm	WP_126162081.1	8.30E-91	0.93	342	13	379	332	39	351	Arenibacter aquaticus GUO
GH33.hmm	WP_126162093.1	8.60E-76	0.98	342	7	935	341	38	394	Arenibacter aquaticus GUO
GH33.hmm	WP_126162094.1	1.50E-27	0.95	342	15	450	341	101	435	Arenibacter aquaticus GUO
CBM9.hmm	WP_126162139.1	6.90E-19	0.98	182	2	734	180	37	222	Arenibacter aquaticus GUO
CBM67.hmm	WP_126162148.1	5.70E-38	0.93	176	2	831	166	60	246	Arenibacter aquaticus GUO
GH78.hmm	WP_126162148.1	8.00E-126	1	504	2	831	504	275	786	Arenibacter aquaticus GUO
GH29.hmm	WP_126162171.1	2.00E-105	0.97	346	12	496	346	19	403	Arenibacter aquaticus GUO
GH163.hmm	WP_126162172.1	1.00E-97	0.99	251	2	746	251	203	448	Arenibacter aquaticus GUO
GH20.hmm	WP_126162173.1	4.10E-122	0.97	337	8	774	336	160	514	Arenibacter aquaticus GUO
CBM9.hmm	WP_126162174.1	6.10E-45	0.88	182	1	357	162	47	230	Arenibacter aquaticus GUO
GH130.hmm	WP_126162175.1	6.80E-94	1	296	1	321	296	17	317	Arenibacter aquaticus GUO
GH5_42.hmm	WP_126162225.1	1.60E-108	1	254	1	518	254	220	474	Arenibacter aquaticus GUO
GT2_Glycos_transf_2.hmm	WP_126162228.1	4.70E-24	0.97	170	2	379	167	142	309	Arenibacter aquaticus GUO
GH31.hmm	WP_126162313.1	1.40E-166	1	427	1	799	427	229	673	Arenibacter aquaticus GUO
CBM48.hmm	WP_126162314.1	6.30E-19	0.89	76	2	631	70	29	116	Arenibacter aquaticus GUO
GH13_9.hmm	WP_126162314.1	9.80E-154	1	301	1	631	301	183	483	Arenibacter aquaticus GUO
GH20.hmm	WP_126162346.1	4.60E-41	0.96	337	12	699	336	146	467	Arenibacter aquaticus GUO
CBM9.hmm	WP_126162410.1	1.70E-24	0.87	182	1	727	160	42	208	Arenibacter aquaticus GUO
CE1.hmm	WP_126162422.1	9.10E-58	0.96	227	1	270	218	29	259	Arenibacter aquaticus GUO
GH33.hmm	WP_126162425.1	2.30E-42	0.89	342	29	392	332	69	370	Arenibacter aquaticus GUO
PL6.hmm	WP_126162429.1	5.10E-134	0.99	372	3	769	371	27	410	Arenibacter aquaticus GUO
PL7_5.hmm	WP_126162431.1	5.60E-60	0.6	267	105	684	266	122	347	Arenibacter aquaticus GUO
GH20.hmm	WP_126162466.1	3.80E-127	0.98	337	8	564	337	157	530	Arenibacter aquaticus GUO
GH20.hmm	WP_126162468.1	7.80E-124	0.97	337	8	767	336	155	513	Arenibacter aquaticus GUO
GH29.hmm	WP_126162469.1	1.30E-81	0.86	346	39	698	337	35	349	Arenibacter aquaticus GUO
CBM32.hmm	WP_126162469.1	9.40E-17	0.81	124	11	698	111	369	471	Arenibacter aquaticus GUO
GT51.hmm	WP_126162481.1	2.20E-61	0.98	177	3	793	177	81	259	Arenibacter aquaticus GUO
GT28.hmm	WP_126162514.1	3.80E-47	0.99	157	1	362	157	193	349	Arenibacter aquaticus GUO
GH117.hmm	WP_126162583.1	1.90E-52	0.58	211	2	409	125	104	237	Arenibacter aquaticus GUO
GH63.hmm	WP_126162587.1	2.40E-50	0.36	570	362	436	566	33	435	Arenibacter aquaticus GUO
GH92.hmm	WP_126162598.1	1.10E-176	0.99	491	2	745	487	260	744	Arenibacter aquaticus GUO
GT2_Glycos_transf_2.hmm	WP_126162668.1	4.90E-19	0.56	170	1	273	97	8	105	Arenibacter aquaticus GUO
GT2_Glycos_transf_2.hmm	WP_126162669.1	2.10E-20	0.88	170	2	264	151	10	150	Arenibacter aquaticus GUO
CE1.hmm	WP_126162677.1	1.50E-18	0.79	227	31	859	210	340	546	Arenibacter aquaticus GUO
GH20.hmm	WP_126162679.1	3.50E-107	0.97	337	8	539	336	174	491	Arenibacter aquaticus GUO
GT2_Glycos_transf_2.hmm	WP_126162687.1	7.60E-26	0.76	170	1	237	131	6	136	Arenibacter aquaticus GUO
GH109.hmm	WP_126162694.1	1.70E-19	0.98	126	1	442	124	40	159	Arenibacter aquaticus GUO
GT83.hmm	WP_126162701.1	4.30E-60	0.76	540	35	516	444	2	412	Arenibacter aquaticus GUO
GH3.hmm	WP_126162708.1	4.70E-57	0.98	216	4	524	215	90	318	Arenibacter aquaticus GUO
GH117.hmm	WP_126162729.1	1.00E-16	0.69	211	44	357	189	174	312	Arenibacter aquaticus GUO
GH109.hmm	WP_126162808.1	4.00E-24	0.88	126	3	439	114	45	152	Arenibacter aquaticus GUO
GH109.hmm	WP_126162832.1	3.40E-18	0.98	126	1	374	124	3	116	Arenibacter aquaticus GUO
GH13_19.hmm	WP_126162867.1	2.80E-79	0.63	360	134	563	360	178	428	Arenibacter aquaticus GUO
GH31.hmm	WP_126162926.1	7.80E-70	0.95	427	21	591	427	39	474	Arenibacter aquaticus GUO
CE7.hmm	WP_126162936.1	8.40E-18	0.48	313	50	305	200	61	205	Arenibacter aquaticus GUO
GH33.hmm	WP_126162941.1	8.60E-39	0.88	342	27	365	328	61	350	Arenibacter aquaticus GUO
AA3.hmm	WP_126162967.1	2.90E-56	0.52	618	83	573	404	3	571	Arenibacter aquaticus GUO
AA3.hmm	WP_126162969.1	6.40E-59	0.52	618	83	572	404	3	570	Arenibacter aquaticus GUO
CE1.hmm	WP_126162971.1	1.30E-29	0.9	227	4	240	209	34	218	Arenibacter aquaticus GUO
GH16_3.hmm	WP_126163022.1	5.40E-78	1	230	1	370	230	137	369	Arenibacter aquaticus GUO
CE1.hmm	WP_126163031.1	3.40E-59	0.98	227	1	288	224	34	282	Arenibacter aquaticus GUO
GH109.hmm	WP_126163041.1	1.70E-17	0.9	126	4	422	118	45	147	Arenibacter aquaticus GUO
GH158.hmm	WP_126163045.1	5.40E-40	0.98	132	1	447	131	50	183	Arenibacter aquaticus GUO
GT2_Glyco_trans_2_3.hmm	WP_126163046.1	8.40E-25	0.91	197	2	1266	182	160	363	Arenibacter aquaticus GUO
GH26.hmm	WP_126163046.1	1.30E-26	0.47	303	111	1266	254	615	782	Arenibacter aquaticus GUO
GT5.hmm	WP_126163049.1	6.20E-116	0.99	472	3	513	471	5	509	Arenibacter aquaticus GUO
GH109.hmm	WP_126163087.1	3.50E-18	0.91	126	1	445	116	32	140	Arenibacter aquaticus GUO
GH26.hmm	WP_126163089.1	7.60E-18	0.41	303	133	575	257	379	511	Arenibacter aquaticus GUO
GT2_Glycos_transf_2.hmm	WP_126163145.1	6.10E-24	0.82	170	2	284	142	5	147	Arenibacter aquaticus GUO
GH109.hmm	WP_126163264.1	2.50E-21	0.94	126	2	450	121	47	162	Arenibacter aquaticus GUO
GT2_Glycos_transf_2.hmm	WP_126163349.1	2.90E-26	0.71	170	1	335	121	6	123	Arenibacter aquaticus GUO
GT2_Glycos_transf_2.hmm	WP_126163399.1	2.60E-26	0.75	170	1	251	129	4	131	Arenibacter aquaticus GUO
GT4.hmm	WP_126163401.1	1.60E-18	0.88	160	8	378	148	202	341	Arenibacter aquaticus GUO
GT4.hmm	WP_126163403.1	1.80E-28	0.93	160	6	379	154	189	345	Arenibacter aquaticus GUO
GT4.hmm	WP_126163408.1	3.20E-19	0.89	160	10	376	152	199	340	Arenibacter aquaticus GUO
GT20.hmm	WP_126163484.1	9.80E-180	0.97	475	13	735	474	2	471	Arenibacter aquaticus GUO
GH15.hmm	WP_126163485.1	2.60E-74	0.99	361	4	603	360	221	582	Arenibacter aquaticus GUO
GT2_Glycos_transf_2.hmm	WP_126163520.1	4.50E-31	0.98	170	1	335	167	7	172	Arenibacter aquaticus GUO
GH20.hmm	WP_126163521.1	5.90E-34	0.79	337	44	366	309	53	322	Arenibacter aquaticus GUO
PL33_1.hmm	WP_126163528.1	8.10E-62	0.96	155	2	646	151	427	575	Arenibacter aquaticus GUO
GH115.hmm	WP_126163545.1	2.40E-30	0.76	697	26	683	553	46	633	Arenibacter aquaticus GUO
GH92.hmm	WP_126163546.1	8.20E-150	0.98	491	11	773	490	245	766	Arenibacter aquaticus GUO
CE6.hmm	WP_126163576.1	6.30E-22	0.92	99	5	275	96	106	197	Arenibacter aquaticus GUO
CE11.hmm	WP_126163621.1	2.40E-78	0.86	271	1	466	233	8	241	Arenibacter aquaticus GUO
GH109.hmm	WP_126163638.1	2.20E-50	0.99	126	1	469	126	58	187	Arenibacter aquaticus GUO
AA7.hmm	WP_126163665.1	4.80E-99	0.99	458	4	460	458	35	458	Arenibacter aquaticus GUO
GH109.hmm	WP_126163687.1	5.70E-16	0.95	126	1	368	121	40	155	Arenibacter aquaticus GUO
PL35.hmm	WP_126163806.1	1.80E-55	0.97	179	3	628	176	404	577	Arenibacter aquaticus GUO
GT83.hmm	WP_126163815.1	9.70E-89	0.81	540	6	550	441	7	432	Arenibacter aquaticus GUO
CE3.hmm	WP_126163838.1	1.80E-16	0.85	194	27	228	191	75	220	Arenibacter aquaticus GUO
GH23.hmm	WP_126163846.1	2.50E-25	0.93	135	2	318	128	103	241	Arenibacter aquaticus GUO
GT2_Glycos_transf_2.hmm	WP_126163853.1	2.70E-31	0.75	170	1	318	129	4	134	Arenibacter aquaticus GUO
GH109.hmm	WP_126163866.1	9.70E-20	0.95	126	2	327	122	6	117	Arenibacter aquaticus GUO
GT2_Glycos_transf_2.hmm	WP_126163881.1	5.80E-20	0.96	170	2	334	166	6	179	Arenibacter aquaticus GUO
CE14.hmm	WP_126163894.1	5.20E-26	0.99	124	1	240	124	6	111	Arenibacter aquaticus GUO
CE14.hmm	WP_126163902.1	7.80E-17	0.9	124	1	836	113	45	156	Arenibacter aquaticus GUO
GH97.hmm	WP_126163979.1	1.30E-201	0.98	631	9	653	630	18	651	Arenibacter aquaticus GUO
CE7.hmm	WP_126163988.1	3.00E-21	0.54	313	35	726	204	96	272	Arenibacter aquaticus GUO
PL12.hmm	WP_126163990.1	5.20E-25	0.99	138	2	700	138	419	557	Arenibacter aquaticus GUO
CE4.hmm	WP_126164001.1	1.60E-25	0.93	130	4	262	125	24	153	Arenibacter aquaticus GUO
GH105.hmm	WP_126164016.1	3.50E-83	0.97	332	9	370	332	54	365	Arenibacter aquaticus GUO
GH20.hmm	WP_126164050.1	5.60E-112	0.97	337	8	548	336	155	509	Arenibacter aquaticus GUO
GH109.hmm	WP_126164054.1	2.20E-50	0.99	126	1	454	126	37	162	Arenibacter aquaticus GUO
CBM32.hmm	WP_126164061.1	5.30E-18	0.84	124	6	621	110	346	475	Arenibacter aquaticus GUO
CBM32.hmm	WP_126164062.1	1.40E-21	0.91	124	10	1341	123	917	1041	Arenibacter aquaticus GUO
GH109.hmm	WP_126164067.1	1.50E-23	0.94	126	1	458	120	40	157	Arenibacter aquaticus GUO
GH2.hmm	WP_126164126.1	1.60E-109	0.58	752	26	1007	465	13	571	Arenibacter aquaticus GUO
GT51.hmm	WP_126164178.1	2.50E-57	0.96	177	7	751	177	66	241	Arenibacter aquaticus GUO
GH30_4.hmm	WP_158285068.1	4.40E-197	1	484	2	514	484	26	509	Arenibacter aquaticus GUO
GH20.hmm	WP_158285103.1	1.90E-111	0.97	337	8	727	336	144	499	Arenibacter aquaticus GUO
GH142.hmm	WP_158285104.1	5.50E-20	0.41	479	135	401	329	116	310	Arenibacter aquaticus GUO
GH20.hmm	WP_158285105.1	2.70E-71	0.96	337	14	808	336	148	462	Arenibacter aquaticus GUO
CBM32.hmm	WP_158285105.1	8.90E-17	0.86	124	15	808	122	692	805	Arenibacter aquaticus GUO
CE3.hmm	WP_158285111.1	1.60E-17	0.69	194	52	221	185	67	208	Arenibacter aquaticus GUO
GH85.hmm	WP_158285127.1	9.90E-92	0.97	315	7	913	314	91	409	Arenibacter aquaticus GUO
CE9.hmm	WP_158285134.1	1.30E-104	0.95	373	16	406	372	39	397	Arenibacter aquaticus GUO
GT2_Glycos_transf_2.hmm	WP_158285137.1	2.40E-23	0.77	170	1	315	132	4	133	Arenibacter aquaticus GUO
AA2.hmm	WP_036150869.1	4.80E-16	0.43	255	8	747	118	87	199	Maribacter forsetii DSM18668
GT2_Glycos_transf_2.hmm	WP_036150943.1	4.80E-31	0.99	170	1	266	169	3	165	Maribacter forsetii DSM18668
GT9.hmm	WP_036150962.1	6.40E-34	0.89	225	2	332	203	59	288	Maribacter forsetii DSM18668
GT51.hmm	WP_036151070.1	4.50E-58	0.99	177	1	781	176	67	244	Maribacter forsetii DSM18668
GT2_Glycos_transf_2.hmm	WP_036151223.1	1.00E-29	0.96	170	1	467	165	112	279	Maribacter forsetii DSM18668
AA3.hmm	WP_036151256.1	1.10E-54	0.52	618	80	569	403	3	566	Maribacter forsetii DSM18668
GH63.hmm	WP_036151360.1	5.10E-50	0.36	570	362	437	566	33	435	Maribacter forsetii DSM18668
GH114.hmm	WP_036151557.1	1.10E-34	0.95	190	10	280	190	58	243	Maribacter forsetii DSM18668
GT2_Glycos_transf_2.hmm	WP_036151622.1	7.30E-16	0.75	170	3	301	131	7	130	Maribacter forsetii DSM18668
GT4.hmm	WP_036151628.1	9.70E-26	0.94	160	7	392	157	210	360	Maribacter forsetii DSM18668
GT4.hmm	WP_036151632.1	1.10E-20	0.97	160	2	326	157	153	297	Maribacter forsetii DSM18668
GH1.hmm	WP_036151677.1	3.50E-151	0.98	429	3	451	425	12	450	Maribacter forsetii DSM18668
GH109.hmm	WP_036151691.1	1.40E-48	0.98	126	2	450	126	36	160	Maribacter forsetii DSM18668
GH109.hmm	WP_036151701.1	1.60E-22	0.98	126	2	463	125	54	169	Maribacter forsetii DSM18668
GT30.hmm	WP_036151784.1	5.80E-46	0.94	177	10	415	176	45	207	Maribacter forsetii DSM18668
CBM9.hmm	WP_036151841.1	1.10E-21	0.8	182	1	876	147	44	198	Maribacter forsetii DSM18668
GT2_Glycos_transf_2.hmm	WP_036152019.1	7.50E-22	0.77	170	2	284	133	5	146	Maribacter forsetii DSM18668
